Handle,File Name,Suggested Alt Text,Shopify File URL
sage-garden-kimono-abaya,IMG_3016.mov,Sage Garden Kimono Abaya,https://cdn.shopify.com/videos/c/o/v/24c2567d97c5460d8d385d98a036c89b.mov
rose-garden-embroidered-kurta-set,IMG_1849.mov,Rose Garden Embroidered Kurta Set,https://cdn.shopify.com/videos/c/o/v/9ed9e6c869a94ecba9cd3cc86b29b65c.mov
blush-blossom-chikankari-kurta,IMG_1848.mov,Blush Blossom Chikankari Kurta,https://cdn.shopify.com/videos/c/o/v/768113b9475f4a28865bd4c6f5d93841.mov
coral-sunrise-embroidered-tunic,VIDEO-2025-11-05-09-36-59.mp4,Coral Sunrise Embroidered Tunic,https://cdn.shopify.com/videos/c/o/v/1a061779217b46be957343b89e57d456.mp4
royal-plum-paisley-kaftan,WhatsApp Image 2026-01-15 at 9.15.35 AM.jpeg,Royal Plum Paisley Kaftan,https://cdn.shopify.com/s/files/1/0611/0439/0206/files/WhatsApp_Image_2026-01-15_at_9.15.35_AM.jpg?v=1770129612
silver-mist-paisley-abaya,IMG_1677.jpeg,Silver Mist Paisley Abaya,https://cdn.shopify.com/s/files/1/0611/0439/0206/files/IMG_1677.jpg?v=1770129612
,IMG_2805.jpg,LuxWear detail,https://cdn.shopify.com/s/files/1/0611/0439/0206/files/IMG_2805.jpg?v=1770133240
